soc_name,sector
Radio and Television Announcers,71
Broadcast News Analysts,71
Reporters and Correspondents,71
Public Relations Specialists,71
Writers and Authors,71
Broadcast Technicians,71
Radio Operators,71
Sound Engineering Technicians,71
Photographers,71
Camera Operators; Television; Video; and Motion Picture,71
Film and Video Editors,71
Chiropractors,71
Gaming Surveillance Officers and Gaming Investigators,71
Lifeguards; Ski Patrol; and Other Recreational Protective Service Workers,71
Gaming Supervisors,71
Slot Supervisors,71
First-Line Supervisors of Personal Service Workers,71
Animal Trainers,71
Nonfarm Animal Caretakers,71
Gaming Dealers,71
Gaming and Sports Book Writers and Runners,71
Motion Picture Projectionists,71
Ushers; Lobby Attendants; and Ticket Takers,71
Amusement and Recreation Attendants,71
Costume Attendants,71
Locker Room; Coatroom; and Dressing Room Attendants,71
Embalmers,71
Recreation Workers,71
Bakers,72
Butchers and Meat Cutters,72
Meat; Poultry; and Fish Cutters and Trimmers,72
Slaughterers and Meat Packers,72
Food and Tobacco Roasting; Baking; and Drying Machine Operators and Tenders,72
Food Batchmakers,72
Food Cooking Machine Operators and Tenders,72
Laundry and Dry-Cleaning Workers,72
Food Service Managers,72
Lodging Managers,72
Food Scientists and Technologists,72
Agricultural and Food Science Technicians,72
Chefs and Head Cooks,72
First-Line Supervisors of Food Preparation and Serving Workers,72
Cooks; Fast Food,72
Cooks; Institution and Cafeteria,72
Cooks; Private Household,72
Cooks; Restaurant,72
Cooks; Short Order,72
Food Preparation Workers,72
Bartenders,72
Combined Food Preparation and Serving Workers; Including Fast Food,72
Counter Attendants; Cafeteria; Food Concession; and Coffee Shop,72
Waiters and Waitresses,72
Food Servers; Nonrestaurant,72
Dining Room and Cafeteria Attendants and Bartender Helpers,72
Dishwashers,72
Hosts and Hostesses; Restaurant; Lounge; and Coffee Shop,72
First-Line Supervisors of Housekeeping and Janitorial Workers,72
First-Line Supervisors of Landscaping; Lawn Service; and Groundskeeping Workers,72
Janitors and Cleaners; Except Maids and Housekeeping Cleaners,72
Maids and Housekeeping Cleaners,72
Managers; All Other,81
Actuaries,81
Engineers; All Other,81
Public Address System and Other Announcers,81
Secretaries and Administrative Assistants; Except Legal; Medical; and Executive,81
Postmasters and Mail Superintendents,92
Social and Community Service Managers,92
Compliance Officers,92
Tax Examiners and Collectors; and Revenue Agents,92
Urban and Regional Planners,92
Arbitrators; Mediators; and Conciliators,92
